,team_abbrv,team_name,box_score_data,box_score_id,season,home_team,home_team_innings_data,home_team_other_data,away_team,away_team_innings_data,away_team_other_data,team_side,result,blown_leads
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,TOR_2012,Toronto Blue Jays,"{'home_team': {'team_name': 'Cleveland Indians', 'inning_data': {'1': '0', '2': '4', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0', '10': '0', '11': '0', '12': '0', '13': '0', '14': '0', '15': '0', '16': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '7', 'errors': '0'}}, 'away_team': {'team_name': 'Toronto Blue Jays', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '1', '5': '0', '6': '0', '7': '0', '8': '0', '9': '3', '10': '0', '11': '0', '12': '0', '13': '0', '14': '0', '15': '0', '16': '3'}, 'other_box_score_data': {'runs': '7', 'hits': '10', 'errors': '1'}}}",TOR20120405,2012,Cleveland Indians,"['0', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","{'runs': '4', 'hits': '7', 'errors': '0'}",Toronto Blue Jays,"['0', '0', '0', '1', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '3']","{'runs': '7', 'hits': '10', 'errors': '1'}",away,1.0,0.0
0,TOR_2012,Toronto Blue Jays,"{'home_team': {'team_name': 'Cleveland Indians', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '2', '6': '0', '7': '0', '8': '0', '9': '1', '10': '0', '11': '0', '12': '1'}, 'other_box_score_data': {'runs': '4', 'hits': '5', 'errors': '0'}}, 'away_team': {'team_name': 'Toronto Blue Jays', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '2', '8': '0', '9': '1', '10': '0', '11': '0', '12': '4'}, 'other_box_score_data': {'runs': '7', 'hits': '8', 'errors': '1'}}}",TOR20120407,2012,Cleveland Indians,"['0', '0', '0', '0', '2', '0', '0', '0', '1', '0', '0', '1']","{'runs': '4', 'hits': '5', 'errors': '0'}",Toronto Blue Jays,"['0', '0', '0', '0', '0', '0', '2', '0', '1', '0', '0', '4']","{'runs': '7', 'hits': '8', 'errors': '1'}",away,1.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
0,WSN_2012,Washington Nationals,"{'home_team': {'team_name': 'Chicago Cubs', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '1', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '1', 'hits': '6', 'errors': '1'}}, 'away_team': {'team_name': 'Washington Nationals', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '0', '5': '0', '6': '0', '7': '0', '8': '1', '9': '1'}, 'other_box_score_data': {'runs': '2', 'hits': '4', 'errors': '1'}}}",WSN20120405,2012,Chicago Cubs,"['0', '0', '0', '1', '0', '0', '0', '0', '0']","{'runs': '1', 'hits': '6', 'errors': '1'}",Washington Nationals,"['0', '0', '0', '0', '0', '0', '0', '1', '1']","{'runs': '2', 'hits': '4', 'errors': '1'}",away,1.0,0.0
0,WSN_2012,Washington Nationals,"{'home_team': {'team_name': 'Chicago Cubs', 'inning_data': {'1': '1', '2': '0', '3': '0', '4': '3', '5': '0', '6': '0', '7': '0', '8': '0', '9': '0'}, 'other_box_score_data': {'runs': '4', 'hits': '8', 'errors': '0'}}, 'away_team': {'team_name': 'Washington Nationals', 'inning_data': {'1': '0', '2': '0', '3': '0', '4': '2', '5': '0', '6': '0', '7': '0', '8': '5', '9': '0'}, 'other_box_score_data': {'runs': '7', 'hits': '12', 'errors': '0'}}}",WSN20120407,2012,Chicago Cubs,"['1', '0', '0', '3', '0', '0', '0', '0', '0']","{'runs': '4', 'hits': '8', 'errors': '0'}",Washington Nationals,"['0', '0', '0', '2', '0', '0', '0', '5', '0']","{'runs': '7', 'hits': '12', 'errors': '0'}",away,1.0,0.0
0,nan_2012,,,,,,,,,,,,,
0,nan_2012,,,,,,,,,,,,,
